,Date,US dollar
0,2019-08-16,17.111
1,2019-08-15,17.212
2,2019-08-14,17.182
3,2019-08-13,16.928
4,2019-08-12,17.029
5,2019-08-09,16.911
6,2019-08-08,16.897
7,2019-08-07,17.08
8,2019-08-06,16.407
9,2019-08-05,16.36
10,2019-08-02,16.171
11,2019-08-01,16.295
12,2019-07-31,16.24
13,2019-07-30,16.528
14,2019-07-29,16.412
15,2019-07-26,16.35
16,2019-07-25,16.399
17,2019-07-24,16.566
18,2019-07-23,16.365
19,2019-07-22,16.327
20,2019-07-19,16.175
21,2019-07-18,16.306
22,2019-07-17,15.952
23,2019-07-16,15.52
24,2019-07-15,15.343
25,2019-07-12,15.195
26,2019-07-11,15.089
27,2019-07-10,15.208
28,2019-07-09,15.077
29,2019-07-08,15.003
30,2019-07-05,14.967
31,2019-07-04,15.274
32,2019-07-03,15.274
33,2019-07-02,15.278
34,2019-07-01,15.117
35,2019-06-28,15.283
36,2019-06-27,15.235
37,2019-06-26,15.233
38,2019-06-25,15.338
39,2019-06-24,15.406
40,2019-06-21,15.307
41,2019-06-20,15.396
42,2019-06-19,15.123
43,2019-06-18,14.9908
44,2019-06-17,14.8079
45,2019-06-14,14.832
46,2019-06-13,14.8664
47,2019-06-12,14.7486
48,2019-06-11,14.7271
49,2019-06-10,14.67
50,2019-06-07,14.981
51,2019-06-06,14.8628
52,2019-06-05,14.7822
53,2019-06-04,14.784
54,2019-06-03,14.755
55,2019-05-31,14.541
56,2019-05-30,14.486
57,2019-05-29,14.389
58,2019-05-28,14.3265
59,2019-05-27,14.582
60,2019-05-24,14.533
61,2019-05-23,14.556
62,2019-05-22,14.41
63,2019-05-21,14.4217
64,2019-05-20,14.433
65,2019-05-17,14.376
66,2019-05-16,14.5223
67,2019-05-15,14.767
68,2019-05-14,14.765
69,2019-05-13,14.731
70,2019-05-10,14.741
71,2019-05-09,14.7324
72,2019-05-08,14.8167
73,2019-05-07,14.8796
74,2019-05-06,14.861
75,2019-05-03,14.9
76,2019-05-02,14.6169
77,2019-05-01,14.6596
78,2019-04-30,14.935
79,2019-04-29,14.8877
80,2019-04-26,15.048
81,2019-04-25,14.9211
82,2019-04-24,14.9175
83,2019-04-23,14.8165
84,2019-04-22,14.9824
85,2019-04-19,14.991
86,2019-04-18,14.9903
87,2019-04-17,14.9677
88,2019-04-16,14.969
89,2019-04-15,14.967
90,2019-04-12,14.945
91,2019-04-11,14.9443
92,2019-04-10,15.197
93,2019-04-09,15.185
94,2019-04-08,15.215
95,2019-04-05,15.077
96,2019-04-04,15.107
97,2019-04-03,15.1
98,2019-04-02,15.089
99,2019-04-01,15.081
100,2019-03-29,15.132
101,2019-03-28,14.9884
102,2019-03-27,15.265
103,2019-03-26,15.399
104,2019-03-25,15.504
105,2019-03-22,15.405
106,2019-03-21,15.437
107,2019-03-20,15.47
108,2019-03-19,15.342
109,2019-03-18,15.315
110,2019-03-15,15.29
111,2019-03-14,15.155
112,2019-03-13,15.418
113,2019-03-12,15.408
114,2019-03-11,15.311
115,2019-03-08,15.303
116,2019-03-07,14.987
117,2019-03-06,15.047
118,2019-03-05,15.1
119,2019-03-04,15.058
120,2019-03-01,15.186
121,2019-02-28,15.595
122,2019-02-27,15.716
123,2019-02-26,15.897
124,2019-02-25,15.863
125,2019-02-22,15.888
126,2019-02-21,15.779
127,2019-02-20,16.024
128,2019-02-19,15.952
129,2019-02-18,15.779
130,2019-02-15,15.752
131,2019-02-14,15.587
132,2019-02-13,15.539
133,2019-02-12,15.674
134,2019-02-11,15.673
135,2019-02-08,15.803
136,2019-02-07,15.69
137,2019-02-06,15.634
138,2019-02-05,15.816
139,2019-02-04,15.833
140,2019-02-01,15.876
141,2019-01-31,16.029
142,2019-01-30,16.026
143,2019-01-29,15.802
144,2019-01-28,15.691
145,2019-01-25,15.706
146,2019-01-24,15.292
147,2019-01-23,15.334
148,2019-01-22,15.303
149,2019-01-21,15.253
150,2019-01-18,15.299
151,2019-01-17,15.498
152,2019-01-16,15.564
153,2019-01-15,15.553
154,2019-01-14,15.614
155,2019-01-11,15.543
156,2019-01-10,15.535
157,2019-01-09,15.714
158,2019-01-08,15.628
159,2019-01-07,15.63
160,2019-01-04,15.661
161,2019-01-03,15.699
162,2019-01-02,15.494
163,2018-12-31,15.439
164,2018-12-28,15.333
165,2018-12-27,15.192
166,2018-12-26,14.9924
167,2018-12-24,14.749
168,2018-12-21,14.6056
169,2018-12-20,14.726
170,2018-12-19,14.56
171,2018-12-18,14.6031
172,2018-12-17,14.629
173,2018-12-14,14.535
174,2018-12-13,14.7244
175,2018-12-12,14.7198
176,2018-12-11,14.525
177,2018-12-10,14.5045
178,2018-12-07,14.567
179,2018-12-06,14.4326
180,2018-12-05,14.4649
181,2018-12-04,14.4967
182,2018-12-03,14.348
183,2018-11-30,14.142
184,2018-11-29,14.2857
185,2018-11-28,14.277
186,2018-11-27,14.1134
187,2018-11-26,14.1816
188,2018-11-23,14.241
189,2018-11-22,14.4499
190,2018-11-21,14.4735
191,2018-11-20,14.281
192,2018-11-19,14.3951
193,2018-11-16,14.37
194,2018-11-15,14.257
195,2018-11-14,14.099
196,2018-11-13,13.9662
197,2018-11-12,13.937
198,2018-11-09,14.118
199,2018-11-08,14.4267
200,2018-11-07,14.5415
201,2018-11-06,14.5
202,2018-11-05,14.6105
203,2018-11-02,14.708
204,2018-11-01,14.741
205,2018-10-31,14.244
206,2018-10-30,14.4555
207,2018-10-29,14.4243
208,2018-10-26,14.655
209,2018-10-25,14.6122
210,2018-10-24,14.662
211,2018-10-23,14.7019
212,2018-10-22,14.5288
213,2018-10-19,14.579
214,2018-10-18,14.5478
215,2018-10-17,14.5818
216,2018-10-16,14.6256
217,2018-10-15,14.6632
218,2018-10-12,14.547
219,2018-10-11,14.5428
220,2018-10-10,14.2498
221,2018-10-09,14.3755
222,2018-10-08,14.337
223,2018-10-05,14.603
224,2018-10-04,14.556
225,2018-10-03,14.6151
226,2018-10-02,14.6567
227,2018-10-01,14.4612
228,2018-09-28,14.606
229,2018-09-27,14.2375
230,2018-09-26,14.2973
231,2018-09-25,14.4507
232,2018-09-24,14.2334
233,2018-09-21,14.2341
234,2018-09-20,14.2837
235,2018-09-19,14.2129
236,2018-09-18,14.12
237,2018-09-17,14.1485
238,2018-09-14,14.023
239,2018-09-13,14.1201
240,2018-09-12,14.2192
241,2018-09-11,14.1297
242,2018-09-10,14.138
243,2018-09-07,14.14
244,2018-09-06,14.1232
245,2018-09-05,14.1802
