,Time,US dollar,Euro,Korean won
0,1978-12-29,78.53,55.93,
1,1979-01-01,78.53,55.93,
2,1979-01-02,78.8,56.02,31.05
3,1979-01-03,75.96,54.68,31.21
4,1979-01-04,77.54,55.82,31.38
5,1979-01-05,78.35,56.45,31.93
6,1979-01-08,77.52,55.65,31.89
7,1979-01-09,77.83,56.02,31.57
8,1979-01-10,76.69,55.28,31.24
9,1979-01-11,76.67,55.47,31.43
10,1979-01-12,75.61,54.71,30.88
11,1979-01-15,75.35,54.61,30.87
12,1979-01-16,76.67,55.34,31.12
13,1979-01-17,78.96,56.81,31.91
14,1979-01-18,80.52,57.8,32.25
15,1979-01-19,80.11,57.59,33.62
16,1979-01-22,81.65,58.76,33.37
17,1979-01-23,79.92,57.59,32.83
18,1979-01-24,82.04,59.04,33.36
19,1979-01-25,81.25,58.75,33.56
20,1979-01-26,81.81,59.02,33.42
21,1979-01-29,81.72,59.26,33.37
22,1979-01-30,81.13,58.79,33.28
23,1979-01-31,81.2,59.1,31.27
24,1979-02-01,79.69,58.29,32.74
25,1979-02-02,80.02,58.55,32.41
26,1979-02-05,84.47,61.31,33.49
27,1979-02-06,84.95,61.53,33.92
28,1979-02-07,87.42,62.7,34.51
29,1979-02-08,87.04,62.63,35.36
30,1979-02-09,85.74,61.74,34.0
31,1979-02-12,84.87,61.21,34.76
32,1979-02-13,83.6,60.43,33.99
33,1979-02-14,83.62,60.49,33.07
34,1979-02-15,86.08,62.17,34.12
35,1979-02-16,85.84,62.1,34.26
36,1979-02-19,86.21,62.36,34.78
37,1979-02-20,85.82,62.12,34.53
38,1979-02-21,87.13,63.09,34.64
39,1979-02-22,87.68,63.41,34.87
40,1979-02-23,87.21,63.01,34.69
41,1979-02-26,86.38,62.32,34.57
42,1979-02-27,86.14,62.21,34.19
43,1979-02-28,87.32,63.1,34.65
44,1979-03-01,86.45,62.54,34.86
45,1979-03-02,86.17,62.36,34.81
46,1979-03-05,82.75,59.99,33.97
47,1979-03-06,83.3,60.35,33.44
48,1979-03-07,84.17,60.83,33.66
49,1979-03-08,83.11,60.02,33.07
50,1979-03-09,83.74,60.56,33.39
51,1979-03-12,83.39,60.39,33.41
52,1979-03-13,83.08,60.29,33.22
53,1979-03-14,83.22,60.29,33.33
54,1979-03-15,83.43,60.48,33.33
55,1979-03-16,84.78,61.52,33.38
56,1979-03-19,84.17,61.06,34.12
57,1979-03-20,84.12,60.96,33.69
58,1979-03-21,83.36,60.5,33.46
59,1979-03-22,84.38,61.14,33.8
60,1979-03-23,84.26,61.08,33.62
61,1979-03-26,85.22,61.61,33.67
62,1979-03-27,84.9,61.5,33.94
63,1979-03-28,84.92,61.49,33.65
64,1979-03-29,83.91,60.85,33.26
65,1979-03-30,83.43,60.41,33.55
66,1979-04-02,83.29,60.6,33.59
67,1979-04-03,83.39,60.7,33.6
68,1979-04-04,83.3,60.6,33.57
69,1979-04-05,83.62,60.85,33.54
70,1979-04-06,83.3,60.6,33.25
71,1979-04-09,83.46,61.15,33.16
72,1979-04-10,83.3,60.91,32.98
73,1979-04-11,82.82,60.49,33.15
74,1979-04-12,81.29,59.53,32.49
75,1979-04-13,81.29,59.52,32.49
76,1979-04-16,81.29,59.52,32.49
77,1979-04-17,80.58,59.09,32.15
78,1979-04-18,81.03,59.31,32.73
79,1979-04-19,83.7,61.15,33.56
80,1979-04-20,82.14,60.25,33.31
81,1979-04-23,82.3,60.3,33.11
82,1979-04-24,83.29,60.9,33.59
83,1979-04-25,84.02,61.37,34.24
84,1979-04-26,84.16,61.49,34.31
85,1979-04-27,84.68,61.67,34.17
86,1979-04-30,85.23,62.33,33.93
87,1979-05-01,85.93,62.35,34.46
88,1979-05-02,85.58,62.49,34.32
89,1979-05-03,85.65,62.54,34.04
90,1979-05-04,86.33,63.03,34.29
91,1979-05-07,86.33,63.03,34.29
92,1979-05-08,86.5,63.14,34.83
93,1979-05-09,86.15,62.89,34.38
94,1979-05-10,87.65,64.09,35.34
95,1979-05-11,87.39,63.95,35.46
96,1979-05-14,87.21,63.83,35.3
97,1979-05-15,88.78,65.11,35.35
98,1979-05-16,89.12,65.33,35.76
99,1979-05-17,89.23,65.56,36.04
100,1979-05-18,89.09,65.72,36.18
101,1979-05-21,91.04,67.26,36.76
102,1979-05-22,92.22,68.05,37.31
103,1979-05-23,91.78,67.69,36.85
104,1979-05-24,91.64,67.5,36.87
105,1979-05-25,94.02,69.36,37.9
106,1979-05-28,94.02,69.36,37.9
107,1979-05-29,95.14,70.27,38.66
108,1979-05-30,93.9,69.22,38.12
109,1979-05-31,95.41,70.18,38.69
110,1979-06-01,95.59,70.46,38.54
111,1979-06-04,94.82,69.79,38.05
112,1979-06-05,95.47,70.3,38.3
113,1979-06-06,97.29,71.69,39.11
114,1979-06-07,95.92,70.65,39.07
115,1979-06-08,97.29,71.59,38.85
116,1979-06-11,98.11,72.21,39.44
117,1979-06-12,96.51,70.99,38.53
118,1979-06-13,96.11,70.62,37.92
119,1979-06-14,96.94,71.19,38.44
120,1979-06-15,97.29,71.05,38.31
121,1979-06-18,96.59,70.51,38.41
122,1979-06-19,97.39,70.58,37.99
123,1979-06-20,97.76,70.64,38.02
124,1979-06-21,98.09,70.77,37.89
125,1979-06-22,98.49,70.87,38.03
126,1979-06-25,98.63,70.54,38.07
127,1979-06-26,97.79,70.28,37.85
128,1979-06-27,97.92,70.22,37.66
129,1979-06-28,95.87,68.71,37.47
130,1979-06-29,96.42,68.97,38.45
131,1979-07-02,98.16,70.29,39.1
132,1979-07-03,97.76,69.95,38.79
133,1979-07-04,98.51,70.23,38.6
134,1979-07-05,100.16,71.27,38.99
135,1979-07-06,100.85,72.0,39.63
136,1979-07-09,100.02,71.62,39.97
137,1979-07-10,100.94,72.06,39.58
138,1979-07-11,100.87,71.73,39.47
139,1979-07-12,101.03,71.87,39.58
140,1979-07-13,99.88,71.05,39.26
