,Date,US dollar
0,1970-12-31,1.633
1,1970-12-30,1.636
2,1970-12-29,1.651
3,1970-12-28,1.64
4,1970-12-24,1.641
5,1970-12-23,1.63
6,1970-12-22,1.667
7,1970-12-21,1.651
8,1970-12-18,1.648
9,1970-12-17,1.593
10,1970-12-16,1.613
11,1970-12-15,1.638
12,1970-12-14,1.628
13,1970-12-11,1.604
14,1970-12-10,1.579
15,1970-12-09,1.596
16,1970-12-08,1.628
17,1970-12-07,1.64
18,1970-12-04,1.651
19,1970-12-03,1.641
20,1970-12-02,1.651
21,1970-12-01,1.607
22,1970-11-30,1.653
23,1970-11-27,1.661
24,1970-11-26,1.68
25,1970-11-25,1.663
26,1970-11-24,1.723
27,1970-11-23,1.755
28,1970-11-20,1.744
29,1970-11-19,1.76
30,1970-11-18,1.771
31,1970-11-17,1.791
32,1970-11-16,1.777
33,1970-11-13,1.779
34,1970-11-12,1.807
35,1970-11-11,1.79
36,1970-11-10,1.824
37,1970-11-09,1.786
38,1970-11-06,1.789
39,1970-11-05,1.814
40,1970-11-04,1.792
41,1970-11-03,1.781
42,1970-11-02,1.795
43,1970-10-30,1.783
44,1970-10-29,1.767
45,1970-10-28,1.792
46,1970-10-27,1.799
47,1970-10-26,1.791
48,1970-10-23,1.731
49,1970-10-22,1.728
50,1970-10-21,1.732
51,1970-10-20,1.717
52,1970-10-19,1.738
53,1970-10-16,1.747
54,1970-10-15,1.744
55,1970-10-14,1.718
56,1970-10-13,1.745
57,1970-10-12,1.745
58,1970-10-09,1.745
59,1970-10-08,1.765
60,1970-10-07,1.748
61,1970-10-06,1.706
62,1970-10-05,1.73
63,1970-10-02,1.73
64,1970-10-01,1.72
65,1970-09-30,1.701
66,1970-09-29,1.745
67,1970-09-28,1.758
68,1970-09-25,1.73
69,1970-09-24,1.769
70,1970-09-23,1.78
71,1970-09-22,1.78
72,1970-09-21,1.772
73,1970-09-18,1.779
74,1970-09-17,1.807
75,1970-09-16,1.79
76,1970-09-15,1.813
77,1970-09-14,1.843
78,1970-09-11,1.843
79,1970-09-10,1.852
80,1970-09-09,1.868
81,1970-09-08,1.846
82,1970-09-07,1.846
83,1970-09-04,1.849
84,1970-09-03,1.842
85,1970-09-02,1.839
86,1970-09-01,1.847
87,1970-08-28,1.837
88,1970-08-27,1.843
89,1970-08-26,1.865
90,1970-08-25,1.855
91,1970-08-24,1.841
92,1970-08-21,1.81
93,1970-08-20,1.818
94,1970-08-19,1.839
95,1970-08-18,1.814
96,1970-08-17,1.786
97,1970-08-14,1.757
98,1970-08-13,1.765
99,1970-08-12,1.743
100,1970-08-11,1.727
101,1970-08-10,1.758
102,1970-08-07,1.736
103,1970-08-06,1.748
104,1970-08-05,1.776
105,1970-08-04,1.761
106,1970-08-03,1.783
107,1970-07-31,1.768
108,1970-07-30,1.768
109,1970-07-29,1.783
110,1970-07-28,1.777
111,1970-07-27,1.734
112,1970-07-24,1.722
113,1970-07-23,1.729
114,1970-07-22,1.739
115,1970-07-21,1.724
116,1970-07-20,1.692
117,1970-07-17,1.658
118,1970-07-16,1.685
119,1970-07-15,1.656
120,1970-07-14,1.638
121,1970-07-13,1.619
122,1970-07-10,1.624
123,1970-07-09,1.622
124,1970-07-08,1.622
125,1970-07-07,1.596
126,1970-07-06,1.624
127,1970-07-03,1.623
128,1970-07-02,1.639
129,1970-07-01,1.624
130,1970-06-30,1.607
131,1970-06-29,1.625
132,1970-06-26,1.627
133,1970-06-25,1.629
134,1970-06-24,1.636
135,1970-06-23,1.65
136,1970-06-22,1.641
137,1970-06-19,1.653
138,1970-06-18,1.633
139,1970-06-17,1.658
140,1970-06-16,1.639
141,1970-06-15,1.63
142,1970-06-12,1.629
143,1970-06-11,1.646
144,1970-06-10,1.685
145,1970-06-09,1.67
146,1970-06-08,1.645
147,1970-06-05,1.644
148,1970-06-04,1.644
149,1970-06-03,1.622
150,1970-06-02,1.609
151,1970-06-01,1.652
152,1970-05-29,1.631
153,1970-05-28,1.627
154,1970-05-27,1.596
155,1970-05-26,1.568
156,1970-05-22,1.623
157,1970-05-21,1.641
158,1970-05-20,1.678
159,1970-05-19,1.69
160,1970-05-18,1.703
161,1970-05-15,1.684
162,1970-05-14,1.679
163,1970-05-13,1.719
164,1970-05-12,1.754
165,1970-05-11,1.749
166,1970-05-08,1.729
167,1970-05-07,1.699
168,1970-05-06,1.729
169,1970-05-05,1.653
170,1970-05-04,1.734
171,1970-05-01,1.734
172,1970-04-30,1.724
173,1970-04-29,1.749
174,1970-04-28,1.804
175,1970-04-27,1.837
176,1970-04-24,1.85
177,1970-04-23,1.855
178,1970-04-22,1.863
179,1970-04-21,1.86
180,1970-04-20,1.865
181,1970-04-17,1.865
182,1970-04-16,1.855
183,1970-04-15,1.855
184,1970-04-14,1.865
185,1970-04-13,1.855
186,1970-04-10,1.844
187,1970-04-09,1.857
188,1970-04-08,1.858
189,1970-04-07,1.859
190,1970-04-06,1.872
191,1970-04-03,1.878
192,1970-04-02,1.89
